MicroRNA	Sample_P004	Sample_P018	Sample_P010	Sample_P020	Sample_P015	Sample_P005	Sample_P007	Sample_P011	Sample_P009	Sample_P001	Sample_P006	Sample_P016	Sample_P019	Sample_P013	Sample_P012	Sample_P014	Sample_P017	Sample_P003	Sample_P002	Sample_P008
hsa-miR-652-5p	3	8	10	4	1	3		19	5		5	5		6	5	4	2	4	2	
hsa-miR-1972		12	3	1	3			1			1	3			2				1	
hsa-miR-340-5p	43	440	913	1335	54	92	48	380	459	29	258	860	135	454	71	141	419	106	251	45
hsa-miR-3120-5p												1								
hsa-miR-3691-3p	1																1			
hsa-miR-3183																	1			
hsa-miR-485-3p	4	10	8	12	4	15	5	21	6	8	7	5	13	22	10	11	17	18	14	2
hsa-miR-3942-3p		2							2		2									
hsa-miR-25-3p	412	4131.5	6345.5	3116	909	619	570	4916	2901.5	275	2433.5	4461	1555	3747.5	1964	1776	3687	669	1903	385
hsa-miR-1244														1						
hsa-miR-556-3p		1		1																
hsa-miR-6728-5p						1														
hsa-miR-548o-5p	0.25	2.16666666666667	3.5	0.833333333333333	0.25	0.75		2.16666666666667	1.41666666666667			2.08333333333333	0.25	1.91666666666667	0.666666666666667	1	2	0.333333333333333	0.583333333333333	
hsa-miR-3688-3p			3						1			6		2			3			
hsa-miR-4327													1				1		1	
hsa-miR-4437							1													
hsa-miR-548aq-3p		1	5	2				1.5	0.25			1							2.33333333333333	
hsa-miR-6851-5p															1					
hsa-miR-3922-3p			1																	
hsa-miR-455-3p	21	174	127	35	59	45	33	193	252	53	112	125	194	142	81	65	119	92	165	48
hsa-miR-423-5p	277	468	720	706	300	628	291	858	312	198	384	504	293	649	301	694	829	716	586	212
hsa-miR-425-5p	114	318	597	334	158	296	182	498	317	48	259	333	275	570	231	400	627	210	360	132
hsa-miR-181c-5p	142	1394	2163	1793	403	279	221	1918	1328	147	720	1196	308	1392	626	725	1378	399	998	165
hsa-miR-6717-5p				2			1					1					1	1		
hsa-miR-3668		1																		
hsa-miR-499b-5p									1											
hsa-miR-338-3p	55	506	435	231	13	24	22	303	107	68	207	340	24	218	134	222	207	81	158	11
hsa-miR-4434			1																	
hsa-miR-200a-3p	87	799.5	1223	3217	76.5	94	112	429	344	15	835	798.5	176.5	608.5	219.5	102	271.5	44	496	76
hsa-miR-153-5p				1								1								
hsa-miR-4703-3p									1											
hsa-miR-211-5p	95.5	3		28		3.5	141	202.5	46.5	1.5	81.5	22	12	368.5	92	4	28	316.5	74.5	14
hsa-miR-509-5p						2		1						1					1	
hsa-miR-944	16	319	383	13	77	18	25	213	209	6	154	271	61	170	111	51	127	16	74	27
hsa-miR-219a-5p		21	24	9	3		7	21	19	6	17	5	8	8	13	3	14	1	7	3
hsa-miR-29b-1-5p		1	4	3.5				2.5			1	1							1	1
hsa-miR-548e-3p		4	18	9	3		1	9	8		8	8	3	11	5	2	10	1	1	
hsa-miR-4436b-5p																	1			
hsa-miR-548ac									0.25											
hsa-miR-219a-1-3p		1		2		1	2	4	3	1	10	2	3	2	3		3	1	1	2
hsa-miR-1343-3p	2	1	1	1	2	1	1	1	2	1		2		3	10	3	1	1	2	1
hsa-miR-4523				1													1			
hsa-miR-3679-3p	1		1												1					
hsa-miR-3659	1	3	2					3	4				2		3	2	1	1		1
hsa-miR-140-3p	717	2061	1969	2796	1073	1463	855	3865	2199	1323	1749	2050	1302	4281	1247	2680	4009	2457	2267	577
hsa-miR-3166	1	2	2					2					1	1	3		1		1	1
hsa-miR-6134			1		1			3	1	1			1	1				2		
hsa-miR-625-5p	3	18	18	16	12	11		26	15	3	7	15	8	24	4	17	31	14	14	2
hsa-miR-1287-3p								1												
hsa-miR-203b-5p								2		1	1									
hsa-miR-369-3p		32	45	18	1	3	1	8	16	1	16	21	3	20		2	18	2	7	1
hsa-miR-410-3p	9	199	88	258	33	57	34	159	54	9	154	91	66	309	50	24	351	45	77	13
hsa-miR-132-3p	13	96	163	103	41	37	20	79	62	15	53	154	46	118	42	49	110	26	95	35
hsa-miR-4317		1	1																	
hsa-miR-3164											1									
hsa-miR-365b-3p	84.5	154.5	171.5	136	122	300	99.5	319.5	90	50.5	125	117	84	204	143.5	283.5	296.5	311.5	242	132.5
hsa-miR-216a-5p		3	2	2				2			4	5		3			1		2	
hsa-miR-514a-5p								2												
hsa-miR-1537-5p			1									1					1			
hsa-miR-6882-5p	1	1				1		2	3			1			1					1
hsa-miR-3190-5p									1									1		
hsa-miR-4467												2							1	
hsa-miR-6734-5p			1	1		1						1								1
hsa-miR-1908-3p		1	1	1		1		1			1					3	4		2	
hsa-miR-155-5p	118	969	2842	1239	454	161	72	2562	1374	107	216	3062	934	685	159	546	2174	176	435	89
hsa-miR-548x-3p													1							
hsa-miR-4694-3p		1																		
hsa-miR-3144-5p					1															
hsa-miR-548h-5p		1	28.1666666666667			2	1	6.5	1.16666666666667			6.11666666666667	0.333333333333333	4.33333333333333	1		1.25	1	1.2	
hsa-let-7d-3p	93	149	200	200	60	182	105	314	114	61	148	145	87	272	94	219	258	258	182	64
hsa-miR-130a-3p	168	1193.5	1707.5	1169	397	388.5	310	2510.5	986	323	1070	1199.5	529	1884	614	910.5	1538.5	640	946.5	236
hsa-miR-3652		1					1													
hsa-miR-7854-3p					1			1			1						2			
hsa-miR-1275	115	211	293	222	96	106	97	230	143	36	79	183	139	174	201	167	448	135	161	72
hsa-miR-500a-3p	59.5	187.5	300.5	338.5	75	101	85.5	351.5	241.5	41.5	220	181	129	272.333333333333	164	232.5	293.5	188	198.5	63.5
hsa-miR-142-3p	23	417	3348	558	68	42	19	797	1090	44	86	1876	203	140	42	197	615	19	75	7
hsa-miR-552-3p			1							1										1
hsa-miR-219a-2-3p		1																		
hsa-miR-22-3p	3421	43430	52982	47931	8173	7000	4402	37301	23191	3281	37787	47504	10524	54868	17117	12793	58619	12165	17449	4218
hsa-miR-570-5p			1.5	1.5		0.5							1							
hsa-miR-411-5p	45	512	226	645	95	116	65	507	212	52	810	206	171	485	163	109	985	137	112	33
hsa-miR-4485	18	16	32	26	38	28	18	28	25	26	229	15	35	46	119	35	16	34	25	24
hsa-miR-1537-3p			8					2	2		1		2	1			1			
hsa-miR-6884-3p								1						1						
hsa-miR-5187-5p						1														
hsa-miR-4646-3p						1	1		1						1		1	2		
hsa-miR-1247-3p	3	4		1	1	4	5	11	11	12	5	1	17	15	4	9	17	1	1	1
hsa-miR-5700			2								2	3		1			2			
hsa-miR-5090						1							1							
hsa-miR-6809-3p						1								1		2				
hsa-miR-365a-3p	84.5	154.5	171.5	136	122	300	99.5	319.5	90	50.5	125	116	84	204	143.5	283.5	296.5	311.5	242	132.5
hsa-miR-27a-3p	2017.5	19646.5	37753.5	6590.5	3086	4153	2827	21286	8233	1067.5	13683	16771	2616	17363.5	7005	6682.5	11282	3639	8716.5	3437
hsa-miR-3179				1																
hsa-miR-6792-5p													1							
hsa-miR-744-3p	2	8	14	4	2	1	2	12	2		10	1	5	7	6	10	3	4	9	1
hsa-miR-671-5p	6	6	30	16	7	11	6	18	6	6	6	18	10	18	15	13	24	12	5	3
hsa-miR-1285-5p		3	3	2	4	1	5	2	3	2	2	4		8	7	5	3	3	3	
hsa-miR-539-5p		2	2	2							1		1	3		2	1		3	
hsa-miR-3124-3p																	1			
hsa-miR-33b-5p	5	31	100.5	25	1.5	2	2	11	8	1	34.5	48	2	19	9	5	4	1	5	3
hsa-miR-7108-3p								1				1				4			1	
hsa-miR-4275													1							
hsa-miR-3916								1					1							
hsa-miR-502-3p	12.5	45.5	69.5	46.5	26	21	12.5	70	34	6.5	35	41	26	65.3333333333333	32	51.5	65.5	40	53.5	10.5
hsa-miR-6744-3p				3															1	
hsa-miR-3937															3					
hsa-miR-6756-3p	2	2	1	2	1	2	1	1	1	2			1	1	3	3	1		2	1
hsa-miR-3064-5p		1		1	2							1					1			
hsa-miR-5586-3p			1									1								
hsa-miR-509-3-5p									2					2					1	
hsa-miR-490-5p						1														
hsa-miR-34c-5p	13	248	251	119	52	59	23	151	117	6	76	144	46	394.5	34	57	130	29	83	47
hsa-miR-522-3p				5	2															
hsa-miR-4306							3						1			1				
hsa-miR-4515			1									1								
hsa-miR-889-5p					1				1					1						
hsa-miR-3918													1							
hsa-miR-373-3p		1	1	1								1		1			1			
hsa-miR-1254			4	1			1	2			1	1	1		1					2
hsa-miR-4755-5p				1													1			
hsa-miR-4802-3p		1	2	2				2						1		1	1			
hsa-miR-365b-5p	2	3	3	6	1		1	4			2	1	3	4	5	3	2	4	5	2
hsa-miR-3619-3p													1				1			
hsa-miR-500b-5p	0.5	2.5	3.33333333333333	1.5	0.5	1.5	0.5	5	1		2.5	2.5	0.5	5.5		2.5	5	2.5	2.5	2
hsa-miR-548aj-3p								1												
hsa-miR-192-3p			2									1	1	2			2			
hsa-miR-185-5p	10	32	76	44	9	10	5	52	41	3	28	63	9	34	8	21	55	7	26	4
hsa-miR-3127-5p	1			1	1		3	1	1			1		1	1		1			
hsa-miR-6503-3p	3	8	19	13	3			13	5		2	6	7	5	3	2	13	1	3	
hsa-miR-1233-5p											2									
hsa-miR-3180-5p		1				1			2		1									
hsa-miR-873-5p		2	4	1		1			19	2	5	3	12			1	4			
hsa-miR-517a-3p			0.5	11	1.5			0.5				1.5					0.5		1	
hsa-miR-5698	1																			
hsa-miR-4477b			2								2	1								
hsa-miR-2114-5p		1				1	1		3					1	2	3	1	2		2
hsa-miR-548ah-5p				2									1							
hsa-miR-888-5p																	1			
hsa-miR-7-2-3p			2	2		1											1			
hsa-miR-222-5p	2	23	4	4	5		2	8	7		6	3	6	4	3	4	7		2	
hsa-miR-542-3p		34	15	26	11		1	22	30	1	13	51	5	19	6	5	25		2	3
hsa-miR-3123	13	40	33	26	7	17	14	18	16	4	16	38	14	30	20	15	14	49	25	18
hsa-miR-4768-5p			2				3	1			1	1					1			
hsa-miR-6807-3p			1									1								
hsa-miR-589-5p	8	28	48	61	13	6	7	50	51	4	26	47	26	51	23	26	59	10	18	9
hsa-miR-16-1-3p		3	3	3	1	1		2	2				2	1			4			
hsa-miR-624-3p		2	1	1			2	1	1		2	1		3		1				
hsa-miR-181c-3p	21	74	113	144.5	41.5	20	16	141	61	23	63	87	35	99	43	66	121	37	114	16
hsa-miR-517b-3p			0.5	11	1.5			0.5				1.5					0.5		1	
hsa-miR-548o-3p		8	10	6	2		1	15	11.6666666666667		13	7	3	8.5	7.5	4	10	1	2	
hsa-miR-4777-3p			1	1		1		1												
hsa-miR-181a-2-3p	44	348	135	290	69	104	64	421	203	97	242	219	207	345	180	227	502	180	225	82
hsa-miR-6814-5p								1												
hsa-miR-4732-3p			6	1		4					1	1		1						
hsa-miR-335-3p	9	38	88	156	11	20	9	63	28	6	85	79	12	78	27	36	93	17	45	5
hsa-miR-6890-5p	1												1							
hsa-miR-4284		8	12	2	8	6	3	5		4	10	4	1	3	18	5	2	6	7	2
hsa-miR-7702			2																	
hsa-miR-27a-5p	9	124	287	37	26	21	8	144	109	8	107	85	36	84	29	27	103	15	69	9
hsa-miR-942-3p		2	1								1								1	
hsa-miR-376a-2-5p	1	1		2				1				1		1			3		1	
hsa-miR-1245a		1		1										2						1
hsa-miR-3667-5p		1																		
hsa-miR-6884-5p					1	1								1					1	
hsa-miR-517-5p			1	1	1															
hsa-miR-450a-5p	1	28	14	20	3		1	26	18	2	6	37	6	14	4	7	11		1	
hsa-miR-4635											1									
hsa-miR-4531					2			2	1		1	1	1	2	2	2		1	2	1
hsa-miR-1290	50.5	37	72.5	61.5	40	40	29.5	47.5	58.5	4	39.5	35	69.5	48	33.5	39	55.5	71	34	22
hsa-miR-6892-3p							1	1		1										
hsa-miR-3163		1	2								1			2					1	
hsa-miR-18b-5p			8	3					3			2					1			
hsa-miR-663a	1	5	3	1	2		3	1	3		2	2	2	1	5	1	1	2	2	1
hsa-miR-18a-5p	13	111	355	54	16	21	16	111	81	3	71	148	26	83	48	34	85	9	56	13
hsa-miR-9-5p	6	15	28	43	2	6	6	21	18	3	6	56	12	15	6	10	14	1	12	4
hsa-miR-4778-5p								1												
hsa-miR-3943					1			2							1			1		1
hsa-miR-548f-3p		6	10	2		2		1	4		2	5		2			6			
hsa-miR-378c				2					1		1			2	1	1				
hsa-miR-216a-3p											1	1					1			
hsa-miR-7-1-3p	2	32	63	53	8	4	3	47	51	2	21	40	18	32	15	11	28	6	14	2
hsa-miR-378j	0.333333333333333	5.5	3.33333333333333	2.83333333333333	0.5			8.5	2		2.33333333333333	7.33333333333333		4	2		3		1.5	
hsa-miR-6839-5p														1						
hsa-miR-125a-5p	7064	7394	5819	10992	3235	13382	6323	15001	4238	4628	7277	4809	3156	15625	9029	19543	11685	19001	14341	5282
hsa-miR-337-5p	1	5	4	4	4	3		10	8	1	13	4	4	13	5	4	15	1	3	2
hsa-miR-6788-3p																			1	
hsa-miR-378e	1.5	17	9	8	3.5	5.5	5.33333333333333	15	6	1.5	13.3333333333333	10.8333333333333	2.5	21.5	6.5	3.5	27	7	4	4.5
hsa-miR-3617-5p															1					
hsa-miR-4800-3p	22	34	30	50	77	14	25	26	34	147	15	38	88	19	135	55	20	21	38	82
hsa-miR-374a-5p	66.3333333333333	695.333333333333	731	551.333333333333	92.3333333333333	74.3333333333333	82.5	599.833333333333	360	46	444.166666666667	812.833333333333	136	593.166666666667	208.333333333333	195.333333333333	494.333333333333	88.3333333333333	216	68
hsa-miR-6513-3p	2	2	1		1		1	6	4		6	1					3	2	1	
hsa-miR-3662			1								2									
hsa-miR-4524a-5p		2		2		2			1		1	2	1	1				1	3	
hsa-miR-28-3p	1015	3008	3796	4181	1387	1371	1056	4890	2808	665	2376	3405	2096	5253	2603	3132	4180	1865	3133	809
hsa-miR-4640-5p												1								
hsa-miR-3140-3p			1									1								
hsa-miR-3611		3	2		1				1		1	4								
hsa-miR-10a-5p	4790	14559	7627.5	2120.5	3380	4452.5	1845	11448.5	5098	1216.5	11082.5	4879.5	3319	15352.5	5862	10576	15518.5	9513.5	4153.5	2748
hsa-miR-6130			1	1				2			1						1			
hsa-miR-29b-2-5p		5	12	10.5	6	1	1	12.5	2		4	15	1	11	4	4	13	5	12	2
hsa-miR-493-3p	1	21	15	20	1	2	1	12	9	3	2	16	5	9	8	1	14		3	1
hsa-miR-4456											1									
hsa-miR-99a-5p	1307.5	6534.5	3270	6953.5	1610.5	2292.5	1831.5	7786.5	1837	1766.5	6783.5	2626.5	2239.5	8869.5	4726.5	6627.5	7162.5	3076	4195.5	1683.5
hsa-miR-4727-3p		1																		
hsa-miR-196a-5p	22	285	7.5	0.5	16	7		305.5	90	9	67	205.5	30	11		60	7	5		
hsa-miR-561-3p																			1	
hsa-miR-4723-3p					1															
hsa-miR-514b-5p																			1	
hsa-miR-6763-5p				1		1										1				
hsa-miR-3607-3p	23	47	38	58	18	57	27	48	28	5	29	29	27	37	27	46	32	47	50	18
hsa-miR-6516-5p				2	1					1						2	1			
hsa-miR-4707-3p		4		3	2	3	1		2			2			2	4	7		4	
hsa-miR-6860												1								
hsa-miR-6809-5p			3		1						1									
hsa-miR-4267												1								
hsa-miR-4667-3p		1											1						1	1
hsa-miR-1247-5p	135	61	67	24	30	196	75	390	405	332	62	61	110	268	104	481	332	183	45	87
hsa-miR-4325							1							1						
hsa-miR-6512-5p									1						1				1	
hsa-miR-510-5p														1						
hsa-miR-3613-3p	17	25	21	16	15	33	26	43	15	9	18	29	27	23	12	32	27	59	22	7
hsa-miR-548a-5p				1																
hsa-miR-5587-3p															1			1		
hsa-miR-1180-5p		2		1		1			2			2			1		1		1	2
hsa-miR-4726-5p			1																	
hsa-miR-4669																	1		1	
hsa-miR-490-3p	1					2		1	1		2			3		1	2	1		
hsa-miR-497-5p	59	329	269	269	63	82	79	445	447	130	353	418	73	599	138	158	454	132	189	57
hsa-miR-101-3p	1196	10151	9294	10403	720	1369	996	7385	6486	655	9715	11984	941	10942	4441	3876	9148	1816	2784	919
hsa-miR-4426					1		1								1					
hsa-miR-3196	43	64	64	53	84	51	29	59	20	57	25	56	78	24	76	62	28	52	51	55
hsa-miR-6840-5p							1											3		1
hsa-miR-127-5p	6	64	31	76	21	23	5	46	62	9	55	30	43	108	20	23	102	31	25	1
hsa-miR-642b-3p																	0.5			
hsa-miR-193b-3p	638	1051	1798	1001	958	2191	647	2870	857	532	1066	1112	653	1630	1333	1725	2459	1724	1586	876
hsa-miR-363-3p	8	46	240	564	6	41	13	59	70	4	72	131	25	140	29	26	140	30	73	5
hsa-miR-3620-3p	1	1	5	1		11	2	4				2		3		3	5	7	3	4
hsa-miR-589-3p		2	5	14	3	7	8	13	2	1	5	4	4	9	5	4	5	10	3	2
hsa-miR-4419a	1																			
hsa-miR-6861-3p	1	1								1	1	1				1	1	1		
hsa-miR-520a-3p				7								2					2			
hsa-miR-597-3p		1	1									1								
hsa-miR-6869-5p									1											
hsa-miR-6836-3p	10	19	8	13	11	57	3	41	13	42	13	29	12	22	51	85	25	18	10	11
hsa-miR-3154								1						1		1			2	
hsa-miR-548x-5p			1.08333333333333			0.25	0.25		0.25			1.11666666666667		0.583333333333333					0.2	
hsa-miR-6853-3p				2							1			1	1		1		3	2
hsa-miR-6793-5p												2				1			1	
hsa-miR-493-5p	2	46	58	52	6	14	2	57	35	6	28	29	12	59	14		30	8	14	1
hsa-miR-5683		2	2	1					1		4	37		1		1	4		1	1
hsa-miR-629-5p	9	31	68	22	5	2	3	54	31	7	39	49	18	35	14	14	35	5	8	3
hsa-miR-4423-5p		1							1		3			3						
hsa-miR-5009-5p						1														
hsa-miR-24-3p	1187	8112	8597	3467	2204	2950	1744	10679	5375	874	6894	5181	1682	12190	4353	4347	6812	3438	5419	1688
hsa-miR-6780b-3p										1		1	1							
hsa-miR-3934-5p	5	17	11	3		1	3	5	2		5	7	3	6	3	4	8	3	7	3
hsa-miR-655-3p		20	17	13	7	9	3	19	8		27	16	7	23	5	1	43	6	5	1
hsa-miR-6508-5p						1														
hsa-miR-181d-5p	18	212	262.5	203	48	41.5	27	282	122	15	109.5	147	45	150.5	73	108	150	66	134	18
hsa-miR-4443	9	5	6	4	6	4	4	7	5	1	3	6	5	4	1	4	1	5	5	4
hsa-miR-1238-3p								1												
hsa-miR-2116-3p	1	1	3	1		2	2	4	3	2	1		3	2	1		4	2	1	1
hsa-miR-598-3p	6	27	89	28	3	8	6	30	19	3	35	40	3	35	16	10	29	10	15	5
hsa-miR-6895-5p								1					1							
hsa-miR-548an			0.25																	
hsa-miR-22-5p	4	72	130	55	16	11	8	61	26	2	46	90	15	40	10	13	59	18	26	5
hsa-miR-134-5p	23	81	77	187	55	49	25	121	56	40	79	61	122	197	43	70	225	58	72	16
hsa-miR-3190-3p																	1			
hsa-miR-4512															1					
hsa-miR-6733-5p		4	1					2						2						1
hsa-miR-18b-3p		1		1		3							0.5							
hsa-miR-28-5p	72	475.333333333333	547.333333333333	659.333333333333	141	107	54	569.666666666667	282.333333333333	48	309	549.333333333333	179	639	197	261	480	159.833333333333	291	49.3333333333333
hsa-miR-182-3p			3	2						1		1		1		1			1	
hsa-miR-625-3p	7	14	34	12	25	11	9	27	31	18	7	47	26	28	7	21	38	25	16	3
hsa-miR-6070																	2	1		
hsa-miR-616-5p	3	3	7	9	3	7	4	10	3	1	6	8	5	10	1	12	14	4	8	3
hsa-miR-323a-3p	4	20	24	22	10	10	5	12	9	4	11	9	19	56	10	9	40	10	17	1
hsa-miR-3173-3p		2									1	1					1			
hsa-miR-138-5p	6	127	40	27	18	1	4	199	44	7	67	12	13	24	13	4	33	5	36	7
hsa-miR-6861-5p					1															
hsa-miR-6767-5p														1						
hsa-miR-4448	94	224	159	323	290	72	67	262	149	140	128	338	240	115	74	162	104	73	209	108
hsa-miR-4430												1								
hsa-miR-3065-3p	2	15	47	8	4	6	11	10	9	1	26	3	2	27	11	4	5	3	10	18
hsa-miR-3117-3p	2	12	2	1	1	3		7	4		6	19	8	9	1	1	6	1	2	1
hsa-miR-519c-3p			1	5	1							6	1				1			
hsa-miR-6852-3p				1			1													
hsa-miR-6785-3p	1	1																		
hsa-miR-6505-5p		1		1				2			2			4	3		2	1		
hsa-miR-365a-5p	2	2	7		7	5	4	6	10		4	3	1	3	2	4	6	5	7	2
hsa-miR-129-5p	3	6		1		5	2		2		12			3		4	3	2	5	3
hsa-miR-6816-3p							2												1	
hsa-miR-380-3p		3		2				1	1		1		2	2	1	1	1			
hsa-miR-539-3p		18	23	16	2	2	2	14	7		16	17	1	17	2	2	17	5	8	
hsa-miR-4487				1																
hsa-miR-548n			3	1.5								3		1						1
hsa-miR-217				1				1				4				2			3	
hsa-miR-7159-3p					2															
hsa-miR-6805-5p							1													
hsa-miR-3136-3p						1														
hsa-miR-3942-5p			1	1	1			3							1					
hsa-miR-182-5p	1359	10603	8086	7583	2242	1779	1579	7441	4728	392	7477	6053	1460	6864	5437	2224	5677	1008	4903	1317
hsa-let-7e-3p	6	24	18	21	4	20	23	27	17	9	16	16	6	34	21	19	32	27	31	12
hsa-miR-659-5p	1	2	4	5	1	1	2	7	3	1	3	3	2	5	3	5	3	3		
hsa-miR-548ak			1.5					0.5	1			0.5					1			
hsa-miR-5588-5p					1			2										1		
hsa-miR-6886-3p		1				1				1			1				2			
hsa-miR-3180-3p		1			0.5	0.5	0.5						1	1			0.5		0.5	
hsa-miR-3143												1								
hsa-miR-2467-5p		3	10	2	2	1		4	6		1	6	1	2	1	1	1	1	4	
hsa-miR-504-5p		6	10	12		9	7	16	6	2	9	1	2	18	1	18	14	9	5	4
hsa-miR-5688																		1		
hsa-miR-1288-3p							1										1			
hsa-miR-3679-5p					1		3		1					1					1	
hsa-miR-4494												1								
hsa-miR-411-3p	5	12	3	10	1	3	1	16	5		11	3	4	10	7	1	14	4	5	
hsa-miR-548c-5p	0.25	2.16666666666667	3.5	0.833333333333333	0.25	0.75		2.16666666666667	1.41666666666667			2.08333333333333	0.25	1.91666666666667	0.666666666666667	1	2	0.333333333333333	0.583333333333333	
hsa-miR-7111-3p	1		1				2	1						0.5					1	
hsa-miR-6727-5p															1					
hsa-miR-514a-3p								3	1			1		6	1	3		1		
hsa-miR-4672															1					
hsa-miR-128-1-5p	2		4	7		2	1	1	3	1	6	2	4	5	2	1	7	7	2	
hsa-miR-4714-3p											1								1	
hsa-miR-4753-3p			1																	
hsa-miR-664b-3p	30	29	18	31	22	53	13	51	24	23	16	27	20	30	28	55	26	38	37	18
hsa-miR-7704	132	237	170	436	287	167	125	206	126	538	160	322	301	172	372	271	205	189	202	252
hsa-miR-15b-3p	2	57	84	16	4	6	3	51	33		34	56	9	18	10	4	45	1	12	2
hsa-miR-1825																1				
hsa-miR-4697-3p	1			1	1		1	1	1			2		2		2	2	4		
hsa-miR-181b-5p	182	1446.5	1442	940.5	388	360.5	221	2390	1370	231	742	1528	856	1676.5	561	727	1593.5	539.5	855.5	223.5
hsa-miR-196b-5p	5	101	31.5	2.5	1	1		18.5	13	3	49	65.5	20	9		15	6	7		9
hsa-miR-132-5p	4	21	44	12	5	4		7	7	2	8	24	7	10	7	3	16		17	3
hsa-miR-4458		3	1	1					1		1	2					1		1	
hsa-miR-4645-3p		3	5	3	1			1	3		3	5	2	2			3		1	
hsa-miR-3934-3p			1															1		
hsa-miR-219b-5p		1	2					1	1								1	1		
hsa-miR-6509-5p			1					1				1							1	
hsa-miR-1266-5p	2		5	6		1	1	3		1	1		1	1	4	3	1		3	1
hsa-miR-409-5p		3		8	3	1	1	3	1		5	4	5	11	1	2	6	7	9	
hsa-miR-5787																		1		
hsa-miR-1909-3p						1					1									
hsa-miR-508-5p	1													1			1			
hsa-miR-30c-5p	831	3238	2890	4749	631	1550	1064	4994	2224	568	2781	2251	1192	4106	1890	2663	3640	2480	3348	713
hsa-miR-3909	2	5	11	7	5	5	4	18	2	1	11	9	6	14	6	7	20	8	10	3
hsa-miR-4504												1								
hsa-miR-455-5p	20	325	398	78	41	30	30	251	329	29	190	291	103	161	67	33	202	38	114	41
hsa-miR-4761-3p		1										1					1			
hsa-miR-5585-3p	1	7	1	2	2			3	3	1	2	3	1	2	1	1	1	1	1	
hsa-miR-203a	6834	74497	81700	512	10023	17423	9465	60596	52583	2444	65635	24172	10538	57778	34811	18790	48154	9931	20044	14917
hsa-miR-1911-3p													2			1				
hsa-miR-6889-3p						1														
hsa-miR-195-3p	3	18	9	14	4	4	5	26	23	9	21	19	4	37	7	22	42	9	5	4
hsa-miR-1303	4	11	19	15	8	3	5	27	14	6	16	9	4	11	2	6	9	10	6	2
hsa-miR-4417				1	1				1			1	1		1				2	3
hsa-miR-4649-3p								2	1		1			1		1	2			
hsa-miR-624-5p	1	5	3	2				6	1		1	4	1	2			1			
hsa-miR-548aj-5p			1.08333333333333			0.25	0.25		0.25			1.11666666666667		0.583333333333333					0.2	
hsa-miR-548ap-5p			1		1			1.5	0.166666666666667			0.5					0.5			
hsa-miR-3151-3p																1				
hsa-miR-1304-5p		2	2		1			2												
hsa-miR-193b-5p	5	8	7	6	3	18	2	18	6	4	3	7	2	12	7	9	20	12	13	9
hsa-miR-6074			1																	
hsa-miR-7155-3p		1		1			1	1			1			2	1					
hsa-miR-550a-5p		5	8	3		3	1	2	1	1	1	1	5.5	3.5	4	2	5.5	4.5	6	1
hsa-miR-1295a		3		1		1			1				3	3	1		1		1	
hsa-miR-6510-5p		2									2									1
hsa-miR-3605-5p		3	3	2		3		9	3	1	6		5	8	1	4	5	2	3	
hsa-miR-1268b	7.5	10.5	12.5	1.5	6	6	7	14.5	13.5		8.5	5.5	4	6.5	7.5	2.5	7.5	6	12	3
hsa-miR-4637												1								
hsa-miR-376b-5p		1						0.5	0.5			0.5		1.5			0.5			
hsa-miR-6129		1	2	2	2			1			1	4		2			1	1	2	
hsa-miR-653-3p			1	1				3									3			
hsa-miR-6871-3p								1									1			
hsa-miR-299-5p	7	20	9	18	6	43	6	31	3	2	48	4	8	36	22	5	51	33	11	1
hsa-miR-548p		0.333333333333333							0.333333333333333					0.5						
hsa-miR-30b-3p		3	5	2	1		1	4	1		1	2	2	4		3	2	4	1	2
hsa-miR-4687-3p	2										2								1	1
hsa-miR-615-3p	5	12				2		19	2		11	4	10	4		16	11	11	1	3
hsa-miR-1185-2-3p			1.5	2	2			4	1.5	2			3	2			2.5	2	0.5	
hsa-miR-524-5p				2																
hsa-miR-6776-5p														1						
hsa-miR-6727-3p														1						
hsa-miR-3685								2							1		1			
hsa-miR-7977	925	1681	966	1468	2007	1492	1046	1681	691	252	1293	1275	1568	1856	1542	1673	1721	1531	1303	1332
hsa-miR-519d-3p				11	3	2			1		3	5					1			
hsa-miR-5581-3p	1		1	1		1		2	2		1		2		2	4	2		1	
hsa-miR-516a-5p				24	1				1			6							2	
hsa-miR-10b-3p	5	17	13	12	6	5	5	23	7		17	20	15	47	12	19	20	11	9	3
hsa-miR-29b-3p	108	421	826.5	858.5	113	96	62	494.5	441	111	352.5	850	94	654	176	342.5	548.5	114	323	90
hsa-miR-4433b-5p	2	2	2	1	1	9	2		1	1	3	2	4	1	5	3		4	3	1
hsa-miR-454-5p	2	7	16	9	3		2	6	7		11	11	12	16	9	8	9		7	
hsa-miR-548ay-3p			1				1		1		1			1	1	1				
hsa-miR-6513-5p		1	1	1				1	1		1			1					1	
hsa-miR-5579-3p			2		1										1					
hsa-miR-5100	47	43	26	49	37	69	25	52	21	4	29	36	28	47	68	55	55	52	42	30
hsa-miR-431-5p	1	13	21	15	8	5	1	10	13		13	21	18	13	4	1	27	2	2	1
hsa-miR-4451	2	11	11	1	2	2	2	7	2		3	4		5	4	3	5		3	2
hsa-miR-548ar-5p			1.08333333333333			0.25	0.25	1	1.25			0.916666666666667		0.583333333333333						
